Publisher Name,Publisher Registry Id,Publisher Type,Timeliness,Forward looking,Comprehensiveness,Score
SolarNow Services (U) Ltd,solarnowsofa,Private Sector,12,0.0,68,27
Solidagro,solidagro_admin,"Academic, Training and Research",12,0.0,0,4
Solidar Suisse,solidarsuisse,International NGO,38,100.0,80,73
Solidaridad,solidaridad,International NGO,12,0.0,85,32
Solidaridad Europe,solidaridad-europe,International NGO,12,0.0,84,32
Solidaridad South & South-East Asia,solidaridad-ssea,International NGO,12,0.0,74,29
Solidaridad West Africa,solidaridad-waf,International NGO,12,0.0,88,33
Solsoc,solsoc,National NGO,12,0.0,0,4
Soluciones en Legislación y Política Ambiental AC,polea,National NGO,0,0.0,0,0
Sonke Gender Justice,sjg,International NGO,0,0.0,84,28
SOS Children's Villages Kenya,soscvkenya,International NGO,0,0.0,0,0
SOS Children's Villages The Netherlands,sosnl,Foundation,75,0.0,74,50
SOS FAIM - SOS HUNGER,sosfaim,National NGO,12,0.0,0,4
SOS Kinderdorpen België / SOS Villages d'Enfants Belgique,svdbskb_admin,International NGO,50,0.0,0,17
SOS Sahel International UK,sossaheluk,International NGO,0,0.0,0,0
Sound Seekers Limited,soundseekers,International NGO,0,0.0,0,0
South African Network of People who Use Drugs,sanpud,National NGO,38,33.333333333333336,78,50
South West International Development Network,swidn,"Academic, Training and Research",0,33.333333333333336,77,37
Southern African Catholic Bishops' Conference Aids Office,sacbc,Regional NGO,0,0.0,58,19
SouthSouthNorth,ssn,International NGO,38,3.3333333333333335,63,35
Sowt podcasting and training L.L.C,sowt,Private Sector,25,0.0,83,36
Spain - Ministry of Foreign Affairs and Cooperation,maec,Government,0,0.0,76,25
Spanish Agency for International Development Cooperation (AECID),aecid,Government,88,3.3333333333333335,82,58
SPARK,spark,International NGO,62,0.0,85,49
Special Hope Network,shn,International NGO,0,0.0,0,0
Stakeholder Democracy Network,sdn,International NGO,12,0.0,77,30
Stars Foundation,starsfoundation,Foundation,0,0.0,60,20
Stellenbosch University,su-impala,"Academic, Training and Research",12,0.0,0,4
Stichting ActionAId,aanl,International NGO,38,33.333333333333336,80,50
Stichting Aflatoun International,aflatoun,International NGO,0,0.0,0,0
Stichting Agriterra,agriterra,Foundation,75,0.0,80,52
Stichting Aidenvironment,aidenvironment,Foundation,38,0.0,92,43
Stichting Beheer Subsidiegelden DRA,stichting-subsidiegelden-dra,International NGO,75,0.0,83,53
Stichting Deltares,deltares,Foundation,0,0.0,63,21
Stichting Fern,stichtingfern,International NGO,50,14.0,73,46
Stichting fondsbeheer DGGF lokaal MKB,dggf_financing_local_smes,Foundation,38,51.333333333333336,78,56
Stichting Health Action International,hai,Foundation,12,33.333333333333336,70,38
Stichting Humana,humana_houben,International NGO,0,0.0,60,20
Stichting Kinderpostzegels Nederland,skn,International NGO,12,0.0,0,4
Stichting Leprazending Nederland - The Leprosy Mission Netherlands,leprazending-tlm-nl,Foundation,0,100.0,70,57
Stichting Liliane Fonds,slf,National NGO,0,0.0,0,0
Stichting Mayday Rescue Foundation,maydayrescue,Foundation,0,0.0,59,20
Stichting Nederlands Instituut voor Internationale Betrekkingen 'Clingendael',clingendael,"Academic, Training and Research",0,16.666666666666668,67,28
Stichting Onderzoek Multinationale Ondernemingen (SOMO),somo,"Academic, Training and Research",62,50.0,73,62
Stichting Red een Kind,redeenkind,International NGO,50,0.0,83,44
